"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T7XG7XD2","journalArticle","2008","Krendl, Anne C.; Richeson, Jennifer A.; Kelley, William M.; Heatherton, Todd F.","The negative consequences of threat - A functional magnetic resonance imaging investigation of the neural mechanisms underlying women's underperformance in math","PSYCHOLOGICAL SCIENCE","","0956-7976","10.1111/j.1467-9280.2008.02063.x","","This study used functional magnetic resonance imaging to identify the neural structures associated with women's underperformance on math tasks. Although women in a control condition recruited neural networks that are associated with mathematical learning (i.e., angular gyrus, left parietal and prefrontal cortex), women who were reminded of gender stereotypes about math ability did not recruit these regions, and instead revealed heightened activation in a neural region associated with social and emotional processing (ventral anterior cingulate cortex).","2008-02","2024-05-26 14:29:24","2024-05-26 14:29:24","2008-02-01","168-175","","2","19","","","","","","","","","","","","","","WOS:000252964300013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPG2WN2K","journalArticle","2015","Forbes, Chad E.; Leitner, Jordan B.; Duran-Jordan, Kelly; Magerman, Adam B.; Schmader, Toni; Allen, John J. B.","Spontaneous default mode network phase-locking moderates performance perceptions under stereotype threat","SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE","","1749-5016","10.1093/scan/nsu145","","This study assessed whether individual differences in self-oriented neural processing were associated with performance perceptions of minority students under stereotype threat. Resting electroencephalographic activity recorded in white and minority participants was used to predict later estimates of task errors and self-doubt on a presumed measure of intelligence. We assessed spontaneous phase-locking between dipole sources in left lateral parietal cortex (LPC), precuneus/posterior cingulate cortex (P/PCC), and medial prefrontal cortex (MPFC); three regions of the default mode network (DMN) that are integral for self-oriented processing. Results revealed that minorities with greater LPC-P/PCC phase-locking in the theta band reported more accurate error estimations. All individuals experienced less self-doubt to the extent they exhibited greater LPC-MPFC phase-locking in the alpha band but this effect was driven by minorities. Minorities also reported more self-doubt to the extent they overestimated errors. Findings reveal novel neural moderators of stereotype threat effects on subjective experience. Spontaneous synchronization between DMN regions may play a role in anticipatory coping mechanisms that buffer individuals from stereotype threat.","2015-07","2024-05-26 14:29:24","2024-05-26 14:29:24","2015-12-25","994-1002","","7","10","","","","","","","","","","","","","","WOS:000365538600014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSI3GAYN","journalArticle","2022","Chen, Yung-Tsen; McDonough, Ian M; Faig, Kelly E; Norman, Greg J; Gallo, David A","Impact of stereotype threat on brain activity during memory tasks in older adults.","NeuroImage","","1095-9572","10.1016/j.neuroimage.2022.119413","","We report the first neuroimaging experiment to investigate the impact of explicitly activating aging stereotypes (i.e., stereotype threat) on brain activity during cognitive tasks. Cognitively normal older adults read about aging stereotypes or a control passage prior to taking episodic memory, working memory, and a non-demanding control task during fMRI. At the group level, stereotype activation did not impact cognitive performance or measures sensitive to stress and anxiety (physiological or self-report), but like prior work, highly educated and retired adults exhibited greater stereotype effects on episodic memory. At the neural level, stereotype activation did not impact brain activity in executive control or emotional regulation regions previously linked to stereotype threat effects in younger adults, suggesting that stereotype threat operates differently in older adults. Instead, on each task, the stereotype group showed more brain activity than the control group in parietal midline regions (e.g., precuneus, posterior cingulate). Although activity in these regions can arise from many processes, they have previously been associated with self-referential thinking and error-prevention focus, and in our study, brain activity in these regions was associated with slower responses and lower false alarm errors on the episodic memory task. Collectively, these findings are more consistent with the regulatory fit hypothesis than an executive control interference hypothesis of stereotype threat effects in older adults, whereby older adults adopt an error-prevention mindset in response to explicit stereotype threat.","2022-07-10","2024-05-26 14:29:24","2024-05-26 14:29:24","2022-07-27","119413-119413","","","260","","","","","","","","","","","","","","MEDLINE:35853542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEH4PCGP","journalArticle","2023","Chen, Nai-Feng; Chang, Ting-Ting","Arithmetic problem size modulates brain activations in females but not in males.","The European journal of neuroscience","","1460-9568","10.1111/ejn.16100","","Numerous empirical studies have reported that males and females perform equally well in mathematical achievement. However, still to date, very limited is understood about the brain response profiles that are particularly characteristic of males and females when solving mathematical problems. The present study aimed to tackle this issue by manipulating arithmetic problem size to investigate functional significance using functional magnetic resonance imaging (fMRI) in young adults. Participants were instructed to complete two runs of simple calculation tasks with either large or small problem sizes. Behavioural results suggested that the performance did not differ between females and males. Neuroimaging data revealed that sex/gender-related patterns of problem size effect were found in the brain regions that are conventionally associated with arithmetic, including the left middle frontal gyrus (MFG), left intraparietal sulcus (IPS) and insula. Specifically, females demonstrated substantial brain responses of problem size effect in these regions, whereas males showed marginal effects. Moreover, the machine learning method implemented over the brain signal levels within these regions demonstrated that sex/gender is discriminable. These results showed sex/gender effects in the activating patterns varying as a function of the distinct math problem size, even in a simple calculation task. Accordingly, our findings suggested that females and males use two complementary brain resources to achieve equally successful performance levels and highlight the pivotal role of neuroimaging facilities in uncovering neural mechanisms that may not be behaviourally salient.","2023-07-09","2024-05-26 14:29:24","2024-05-26 14:29:24","2023-07-21","3299-3314","","5","58","","","","","","","","","","","","","","MEDLINE:37468321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVVNJACU","journalArticle","2012","Kishida, Kenneth T; Yang, Dongni; Quartz, Karen Hunter; Quartz, Steven R; Montague, P Read","Implicit signals in small group settings and their impact on the expression of cognitive capacity and associated brain responses.","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","","1471-2970","10.1098/rstb.2011.0267","","Measures of intelligence, when broadcast, serve as salient signals of social status, which may be used to unjustly reinforce low-status stereotypes about out-groups' cultural norms. Herein, we investigate neurobehavioural signals manifest in small (n = 5) groups using functional magnetic resonance imaging and a 'ranked group IQ task' where implicit signals of social status are broadcast and differentiate individuals based on their expression of cognitive capacity. We report an initial overall decrease in the expression of cognitive capacity in the small group setting. However, the environment of the 'ranked group IQ task' eventually stratifies the population into two groups ('high performers', HP and 'low performers', LP) identifiable based on changes in estimated intelligence quotient and brain responses in the amygdala and dorsolateral prefrontal cortex. In addition, we demonstrate signals in the nucleus accumbens consistent with prediction errors in expected changes in status regardless of group membership. Our results suggest that individuals express diminished cognitive capacity in small groups, an effect that is exacerbated by perceived lower status within the group and correlated with specific neurobehavioural responses. The impact these reactions have on intergroup divisions and conflict resolution requires further investigation, but suggests that low-status groups may develop diminished capacity to mitigate conflict using non-violent means.","2012-03-05","2024-05-26 14:29:24","2024-05-26 14:29:24","2012-03-05","704-16","","1589","367","","","","","","","","","","","","","","MEDLINE:22271786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34X63PEK","journalArticle","2014","Forbes, Chad E.; Leitner, Jordan B.","Stereotype threat engenders neural attentional bias toward negative feedback to undermine performance","BIOLOGICAL PSYCHOLOGY","","0301-0511","10.1016/j.biopsycho.2014.07.007","","Stereotype threat, a situational pressure individuals experience when they fear confirming a negative group stereotype, engenders a cascade of physiological stress responses, negative appraisals, and performance monitoring processes that tax working memory resources necessary for optimal performance. Less is known, however, about how stereotype threat biases attentional processing in response to performance feedback, and how such attentional biases may undermine performance. Women received feedback on math problems in stereotype threatening compared to stereotype-neutral contexts while continuous EEG activity was recorded. Findings revealed that stereotype threatened women elicited larger midline P100 ERPs, increased phase locking between anterior cingulate cortex and dorsolateral prefrontal cortex (two regions integral for attentional processes), and increased power in left fusiform gyrus in response to negative feedback compared to positive feedback and women in stereotype-neutral contexts. Increased power in left fusiform gyrus in response to negative feedback predicted underperformance on the math task among stereotype threatened women only. Women in stereotype-neutral contexts exhibited the opposite trend. Findings suggest that in stereotype threatening contexts, neural networks integral for attention and working memory are biased toward negative, stereotype confirming feedback at very early speeds of information processing. This bias, in turn, plays a role in undermining performance. (C) 2014 Elsevier B.V. All rights reserved.","2014-10","2024-05-26 14:29:24","2024-05-26 14:29:24","2014-10-01","98-107","","","102","","","","","","","","","","","","","","WOS:000341383900012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3Y2J44U","journalArticle","2018","Prevost, Charlotte; Lau, Hakwan; Mobbs, Dean","How the Brain Converts Negative Evaluation into Performance Facilitation","CEREBRAL CORTEX","","1047-3211","10.1093/cercor/bhw400","","Surpassing negative evaluation is a recurrent theme of success stories. Yet, there is little evidence supporting the counterintuitive idea that negative evaluation might not only motivate people, but also enhance performance. To address this question, we designed a task that required participants to decide whether taking up a risky challenge after receiving positive or negative evaluations from independent judges. Participants believed that these evaluations were based on their prior performance on a related task. Results showed that negative evaluation caused a facilitation in performance. Concurrent functional magnetic resonance imaging revealed that the motivating effect of negative evaluation was represented in the insula and striatum, while the performance boost was associated with functional positive connectivity between the insula and a set of brain regions involved in goal-directed behavior and the orienting of attention. These findings provide new insight into the neural representation of negative evaluation-induced facilitation.","2018-02","2024-05-26 14:29:24","2024-05-26 14:29:24","2018-12-28","602-611","","2","28","","","","","","","","","","","","","","WOS:000423981700015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U598IHV8","journalArticle","2017","Zhang, Baoshan; Lin, Yao; Gao, Qianyun; Zawisza, Magdalena; Kang, Qian; Chen, Xuhai","Effects of Aging Stereotype Threat on Working Self-Concepts: An Event-Related Potentials Approach","FRONTIERS IN AGING NEUROSCIENCE","","1663-4365","10.3389/fnagi.2017.00223","","Although the influence of stereotype threat (ST) on working self-concepts has been highlighted in recent years, its neural underpinnings are unclear. Notably, the aging ST, which largely influences older adults' cognitive ability, mental and physical health, did not receive much attention. In order to investigate these issues, electroencephalogram (EEG) data were obtained from older adults during a modified Stroop task using neutral words, positive and negative self-concept words in aging ST vs. neutral control conditions. Results showed longer reaction times (RTs) for identifying colors of words under the aging ST compared to the neutral condition. More importantly, the negative self-concept elicited more positive late P300 amplitudes and enhanced theta band activities compared to the positive self-concept or neutral words under the aging ST condition, whereas no difference was found between these self-concepts and neutral words in the control condition. Furthermore, the aging ST induced smaller theta band synchronization and enhanced alpha band synchronization compared to the control condition. Moreover, we also observed valence differences in self-concepts where the negative self-concept words reduced early P150/N170 complex relative to neutral words. These findings suggest that priming ST could activate negative self-concepts as current working self-concept, and that this influence occurred during a late neural time course.","2017-07-12","2024-05-26 14:29:25","2024-05-26 14:29:25","2017-07-21","","","","9","","","","","","","","","","","","","","WOS:000405343200001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM577LHG","journalArticle","2023","Balters, Stephanie; Foland-Ross, Lara C; Bruno, Jennifer; Periyakoil, Vyjeyanthi S; Valantine, Hannah; Reiss, Allan L","Neural responses to gender-based microaggressions in academic medicine.","Journal of neuroscience research","","1097-4547","10.1002/jnr.25240","","Gender-based microaggressions have been associated with persistent disparities between women and men in academia. Little is known about the neural mechanisms underlying those often subtle and unintentional yet detrimental behaviors. Here, we assessed the neural responses to gender-based microaggressions in 28 early career faculty in medicine (N=16 female, N=12 male sex) using fMRI. Participants watched 33 videos of situations demonstrating gender-based microaggressions and control situations in academic medicine. Video topics had been previously identified through real-life anecdotes about microaggression from women faculty and were scripted and reenacted using professional actors. Primary voxel-wise analyses comparing group differences in activation elucidated a significant group by condition interaction in a right-lateralized cluster across the frontal (inferior and middle frontal gyri, frontal pole, precentral gyrus, postcentral gyrus) and parietal lobes (supramarginal gyrus, angular gyrus). Whereas women faculty exhibited reduced activation in these regions during the microaggression relative to the control condition, the opposite was true for men. Posthoc analyses showed that these patterns were significantly associated with the degree to which participants reported feeling judged for their gender in academic medicine. Lastly, secondary exploratory ROI analyses showed significant between-group differences in the right dorsolateral prefrontal cortex and inferior frontal gyrus. Women activated these two regions less in the microaggression condition compared to the control condition, whereas men did not. These findings indicate that the observation of gender-based microaggressions results in a specific pattern of neural reactivity in women early career faculty.","2023-09-12","2024-05-26 14:29:25","2024-05-26 14:29:25","2023-10-12","1803-1813","","12","101","","","","","","","","","","","","","","MEDLINE:37654210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Z8D6H29","journalArticle","2013","Dunst, Beate; Benedek, Mathias; Bergner, Sabine; Athenstaedt, Ursula; Neubauer, Aljoscha C.","Sex differences in neural efficiency: Are they due to the stereotype threat effect?","PERSONALITY AND INDIVIDUAL DIFFERENCES","","0191-8869","10.1016/j.paid.2013.06.007","","The neural efficiency hypothesis postulates a more efficient use of brain resources in more intelligent people as compared to less intelligent ones. However, this relationship was found to be moderated by sex and task content. While the phenomenon of neural efficiency was previously supported for men when performing visuo-spatial tasks it occurred for women only when performing verbal tasks. One possible explanation for this finding could be provided by the well-studied phenomenon called stereotype threat. Stereotype threat arises when a negative stereotype of one's own group is made salient and can result in behavior that confirms the stereotype. Overall, 32 boys and 31 girls of varying intellectual ability were tested with a mental rotation task, either under a stereotype exposure or a no-stereotype exposure condition while measuring their EEG. The behavioral results show that an activated negative stereotype not necessarily hampers the performance of girls. Physiologically, a confirmation of the neural efficiency phenomenon was only obtained for boys working under a no-stereotype exposure condition. This result pattern replicates previous findings without threat and thus suggests that sex differences in neural efficiency during visuo-spatial tasks may not be due to the stereotype threat effect. (C) 2013 The Authors. Published by Elsevier Ltd. All rights reserved.","2013-10","2024-05-26 14:29:25","2024-05-26 14:29:25","2013-11-27","744-749","","7","55","","","","","","","","","","","","","","WOS:000324156000004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
